"su_su_no","lucc_lucc_code","_product_harvested_position","product_category","product_category_importance","product_species_code","product_species_scientific_name","product_species_vernacular_name","species_ranking","part_of_plant_harvested","part_of_plant_harvested_qualifier","commercial_end_use","conflicts","demand_trend","supply_trend","harvest_period_from","harvest_period_to","harvest_frequency","harvest_frequency_qualifier","harvest_trend","harvest_change_reason","harvest_change_reason_qualifier","distance_to_product","distance_to_product_unit_name","market_price","market_price_u","user_group","user_group_ranking","user_rights","sale_to","organization_level","gender_balance","child_participation","legislation_awareness","legislation_compliance","incentives_awareness","incentives_application"
"0434","WG","1","207","3","ACA/SEN","Acacia senegal","","3","2","","5","1","3","1","","","2","","3","1","","1.0","","1100","qt","I","3","1","1","2","1","1","false","false","false","false"
"0434","WG","2","211","2","ZIZ/SPI","Ziziphus spina-christi","","3","9","","4","1","3","1","","","4","","2","2","","0.5","","800","qt","I","2","1","1","2","1","1","false","false","false","false"
"0434","WG","3","201","2","BAL/AEG","Balanites aegyptiaca","","2","9","","4","1","3","3","","","4","","3","1","","0.5","","600","qt","I","2","1","1","2","1","1","false","false","false","false"
"0434","WG","4","201","2","ADA/DIG","Adansonia digitata","","2","9","","4","1","3","1","","","4","","3","2","","1.0","","1800","qt","I","2","1","1","2","0","1","false","false","false","false"
"0434","WG","5","211","2","ACA/NIL/NIL","Acacia nilotica subsp. nilotica","","2","8","","4","1","3","3","","","4","","3","1","","1.0","","100","qt","I","2","1","1","2","2","1","false","false","false","false"
"0960","FSD","1","207","3","BOS/PAP","Boswellia papyrifera","","3","6","","4","1","1","1","","","3","","3","1","","0.0","","25","kg","I","3","1","1","2","2","1","true","true","true","true"
"0960","FSD","2","201","3","HYP/THE","Hyphaene thebaica","","3","1","","4","1","3","3","","","4","","3","1","","1.0","","25","kg","I","2","1","1","2","3","1","true","true","true","true"
"0960","FSD","3","201","3","TMR/IND","Tamarindus indica","","3","9","","4","1","1","3","","","4","","3","90","","1.0","","7","kg","I","3","1","1","2","2","1","true","true","true","true"
"0797","WG","1","101","3","ACA/MEL","Acacia mellifera","","3","2","","0","1","3","1","","","4","","3","1","","1.0","","10","kg","I","2","1","1","2","1","1","false","false","false","false"
"0433","WG","1","207","3","ACA/SEN","Acacia senegal","","3","2","","5","1","3","3","","","4","","3","1","","1.0","","1200","qt","I","2","1","1","2","2","2","true","true","false","false"
"0799","OCA","1","201","3","","","","3","8","","1","1","3","1","","","4","","1","4","","1.0","","11","kg","I","2","1","1","2","2","1","true","true","false","false"
"0435","OCA","1","201","3","ACA/SEN","Acacia senegal","","3","2","","4","2","3","3","","","4","","3","1","","1.0","","1100","kg","I","2","1","1","2","1","1","true","true","true","true"
"0435","OCA","2","207","3","ACA/SEN","Acacia senegal","","3","2","","5","1","3","3","","","2","","3","1","","1.0","","1100","qt","I","3","1","2","2","1","1","true","true","true","true"
"0518","FSD","1","207","2","ALB/AMA","Albizia amara","","2","1","","4","1","3","1","","","2","","3","1","","4.0","","1400","qt","I","2","1","1","2","1","0","false","true","false","false"
"0558","OCA","1","207","3","ACA/SEN","Acacia senegal","","3","2","","5","1","3","3","","","2","","3","1","","3.0","","1200","qt","I","2","1","2","2","0","0","true","true","true","true"
"0558","OCA","2","201","3","BAL/AEG","Balanites aegyptiaca","","3","9","","4","1","2","3","","","4","","3","1","","3.0","","5","kg","I","2","1","1","2","1","1","false","false","false","false"
"0558","OCA","3","201","2","ZIZ/SPI","Ziziphus spina-christi","","2","9","","1","1","2","2","","","4","","3","1","","5.0","","5","kg","I","2","1","1","2","2","1","false","false","false","false"
"0558","OCA","4","201","2","TMR/IND","Tamarindus indica","","3","9","","2","1","3","2","","","4","","2","1","","4.0","","3","kg","I","2","1","1","2","1","1","false","false","false","false"
"0558","OCA","5","101","2","DAL/MEL","Dalbergia melanoxylon","","2","2","","0","1","1","1","","","3","","1","4","","10.0","","60","kg","I","2","1","1","2","0","0","false","false","false","false"
"0557","FD","1","207","1","ACA/SEN","Acacia senegal","","1","2","","5","1","1","1","","","2","","2","1","","1.2","","800","qt","I","2","1","1","2","0","0","true","true","true","true"
"0557","FD","2","211","3","BAL/AEG","Balanites aegyptiaca","","3","8","","4","1","3","3","","","1","","3","1","","1.0","","300","qt","I","2","1","1","2","0","0","true","true","true","true"
"0557","FD","3","103","3","BAL/AEG","Balanites aegyptiaca","","3","1","","5","1","3","3","","","2","","3","1","","2.0","","2","kg","I","1","1","1","2","0","0","true","true","true","true"
"0535","OB","1","101","2","ALB/AMA","Albizia amara","","2","2","","0","1","3","1","","","5","","2","1","","1.0","","15","kg","I","2","1","1","2","2","1","false","false","false","false"
"0445","WG","1","207","3","ACA/SEN","Acacia senegal","","3","2","","5","1","3","3","","","4","","3","1","","5.0","","1200","qt","I","3","1","1","2","0","0","true","true","false","false"
"0445","OCA","1","201","2","","","","2","9","","4","1","3","3","","","4","","3","1","","5.0","","600","qt","I","2","1","1","2","1","1","true","true","false","false"
"0432","WG","1","207","3","ACA/SEN","Acacia senegal","","3","2","","5","1","3","3","","","4","","3","1","","2.0","","1100","qt","I","3","1","1","2","2","2","false","false","false","false"
"0899","WG","1","101","2","ALB/AMA","Albizia amara","","3","2","","0","1","3","1","","","4","","1","1","","17.0","","120","qt","I","2","1","1","2","2","0","false","false","false","false"
"0899","WG","2","103","3","ALB/AMA","Albizia amara","","2","1","","4","1","3","2","","","3","","3","1","","17.0","","2","kg","I","2","1","3","2","1","0","false","false","false","false"
"0879","OCA","1","207","3","ACA/SEN","Acacia senegal","","3","2","","5","1","2","3","","","3","","3","1","","3.0","","2000","qt","I","3","1","2","2","2","0","true","true","true","true"
"0783","WG","1","103","2","ALB/AMA","Albizia amara","","2","1","","4","1","3","1","","","2","","3","1","","5.0","","3","kg","I","2","1","1","2","1","0","false","false","false","false"
