"su_su_no","lucc_lucc_code","_service_category_position","service_category_type","service_category_type_qualifier","service_importance","legislation_legislation_awareness","legislation_legislation_compliance","incentives_incentives_awareness","incentives_incentives_application"
"0434","WG","1","7","","3","true","true","false","false"
"0960","FSD","1","5","","3","true","true","true","true"
"0960","FSD","2","1","","3","true","true","true","true"
"0960","FSD","3","2","","3","true","true","true","true"
"0960","FSD","4","7","","3","true","true","true","true"
"0960","FSD","5","8","","3","true","true","true","true"
"0960","FSD","6","14","","3","true","true","true","true"
"0797","WG","1","1","","3","true","true","true","true"
"0797","WG","2","14","","2","true","true","true","true"
"0797","WG","3","11","","3","true","true","true","true"
"0797","WG","4","7","","3","true","true","true","true"
"0797","WG","5","8","","3","true","true","true","true"
"0797","WG","6","5","","3","true","true","true","true"
"0433","WG","1","7","","3","true","true","false","false"
"0433","WG","2","1","","3","true","true","true","true"
"0435","OCA","1","0","","2","true","true","true","true"
"0435","OCA","2","2","","3","true","true","true","true"
"0518","FSD","1","0","","3","true","true","true","true"
"0558","OCA","1","2","","3","true","true","true","true"
"0558","OCA","2","7","","3","true","true","true","true"
"0558","OCA","3","1","","3","true","true","true","true"
"0558","OCA","4","8","","3","true","true","true",""
"0558","OCA","5","11","","3","true","true","true","true"
"0557","FD","1","0","","1","true","true","true","true"
"0535","OB","1","0","","3","true","true","true","true"
"0445","WG","1","2","","3","true","true","false","false"
"0445","WG","2","2","","3","false","true","false","false"
"0445","WG","3","5","","3","true","true","false","false"
"0445","WG","4","7","","3","true","true","false","false"
"0445","WG","5","8","","3","true","true","false","false"
"0445","OCA","1","99","","2","true","true","false","false"
"0432","WG","1","7","","3","true","true","true","true"
"0432","WG","2","8","","3","true","true","true","true"
"0899","WG","1","1","","3","false","false","true","false"
"0899","WG","2","0","","2","false","false","false","false"
"0879","OCA","1","7","","3","true","true","true","true"
