"su_su_no","_settlement_history_position","settlement_history","settlement_history_qualifier","settlement_history_years"
"","1","","",""
"","1","","",""
"","1","","",""
"0936","1","","",""
"0434","1","","",""
"0928","1","0","",""
"0689","1","","",""
"0692","1","","",""
"0695","1","1","","2011.0"
"0543","1","","",""
"0960","1","10","","3.0"
"0797","1","0","",""
"0902","1","","",""
"0433","1","0","","0.0"
"0645","1","","",""
"0978","1","0","",""
"0953","1","0","",""
"0622","1","","",""
"0799","1","10","","3.0"
"0961","1","","",""
"0910","1","","",""
"0871","1","0","",""
"0613","1","","",""
"0522","1","12","","7.0"
"0640","1","","",""
"0567","1","","",""
"0435","1","10","","2.0"
"0518","1","10","","12.0"
"0558","1","10","","3.0"
"0614","1","0","",""
"0615","1","","",""
"0557","1","0","",""
"0535","1","10","","2.0"
"0825","1","","",""
"0594","1","","",""
"0445","1","0","","150.0"
"0432","1","0","","0.0"
"0901","1","0","",""
"0899","1","12","","3.0"
"0644","1","0","",""
"0559","1","10","","2.0"
"0956","1","","",""
"0879","1","1","","7.0"
"0676","1","","",""
"0783","1","10","","21.0"
"0803","1","","",""
"0872","1","","",""
"0641","1","","",""
"0519","1","","",""
"0952","1","","",""
